id,nSpiro,nG12FaRing,nG12FaHRing,HIA_percentage
ZINC000001854466,0,0,0,99.0
ZINC000001530760,0,0,0,95.0
CHEMBL631,0,0,0,95.0
CHEMBL279229,0,0,0,78.0
ZINC000000000855,0,0,0,70.0
ZINC000000005895,0,0,0,90.0
ZINC000003872738,0,0,0,100.0
ZINC000003775140,0,0,0,98.0
ZINC000003918087,0,0,0,12.0
CHEMBL1628227,0,0,0,100.0
ZINC000003831511,0,0,0,100.0
ZINC000000004351,0,0,0,90.0
ZINC000094566092,0,0,0,100.0
ZINC000003812897,0,0,0,100.0
ZINC000019014866,0,0,0,95.0
ZINC000000020240,0,0,0,99.0
ZINC000003812888,0,0,0,97.5
ZINC000001530688,0,0,0,95.0
CHEMBL253376,0,0,0,70.0
CHEMBL91,0,0,0,25.0
ZINC000019360739,0,0,0,80.0
ZINC000000001968,0,0,0,80.0
ZINC000000004759,0,0,0,77.0
ZINC000003792789,0,0,0,90.0
ZINC000033647603,0,0,0,87.0
ZINC000000538550,0,0,0,60.0
CHEMBL2103774,0,0,0,90.0
ZINC000001529266,0,0,0,88.0
CHEMBL558,0,0,0,100.0
ZINC000003823475,0,0,0,50.0
ZINC000000968264,0,0,0,80.0
ZINC000003812892,0,0,0,100.0
ZINC000000538312,0,0,0,97.0
ZINC000000001267,0,0,0,80.0
CHEMBL796,0,0,0,80.0
ZINC000000000853,0,0,0,95.0
ZINC000003814395,0,0,0,100.0
ZINC000000538483,0,0,0,100.0
CHEMBL1201151,0,0,0,90.0
ZINC000000155269,0,0,0,100.0
ZINC000000044027,0,0,0,98.0
ZINC000000020250,0,0,0,95.0
CHEMBL637,0,0,0,97.0
ZINC000002015652,0,0,0,95.0
ZINC000095619105,0,0,0,100.0
ZINC000012404516,0,0,0,100.0
CHEMBL900,0,0,0,100.0
ZINC000053151228,0,0,0,13.0
ZINC000000015515,0,0,0,91.5
ZINC000003830339,0,0,0,100.0
ZINC000000968303,0,0,0,100.0
CHEMBL1237044,0,0,0,90.0
CHEMBL3,0,0,0,100.0
CHEMBL6966,0,0,0,28.0
ZINC000000001681,0,0,0,100.0
ZINC000000020248,0,0,0,95.0
ZINC000003800706,0,0,0,100.0
CHEMBL1491,0,0,0,87.0
ZINC000001530613,0,0,0,100.0
ZINC000001530694,0,0,0,100.0
CHEMBL862,0,0,0,80.0
CHEMBL1423,0,0,0,70.0
ZINC000000006310,0,0,0,90.0
CHEMBL1419,0,0,0,77.0
CHEMBL490,0,0,0,100.0
CHEMBL46,0,0,0,100.0
ZINC000001530716,0,0,0,85.0
ZINC000006021022,0,0,0,80.0
ZINC000002021799,0,0,0,100.0
ZINC000000896484,0,0,0,95.0
ZINC000100019233,0,0,0,95.0
ZINC000000002041,0,0,0,100.0
ZINC000003794794,0,0,0,5.0
CHEMBL1729,0,0,0,100.0
ZINC000001530759,0,0,0,95.0
ZINC000100018854,0,0,0,100.0
CHEMBL6437,0,0,0,70.0
ZINC000000607971,0,0,0,99.0
ZINC000000001331,0,0,0,27.0
ZINC000019632628,0,0,0,73.0
ZINC000053683151,0,0,0,28.0
ZINC000000538065,0,0,0,100.0
ZINC000000056645,0,0,0,90.0
ZINC000000537822,0,0,0,60.0
ZINC000019606670,0,0,0,80.0
ZINC000000402830,0,0,0,90.0
CHEMBL17157,0,0,0,70.0
ZINC000019632618,0,0,0,98.0
ZINC000000020244,0,0,0,50.0
ZINC000001530611,0,0,0,98.0
ZINC000000968257,0,0,0,95.0
CHEMBL1231,0,0,0,100.0
CHEMBL643,0,0,0,25.0
ZINC000000000931,0,0,0,95.0
CHEMBL500,0,0,0,87.0
ZINC000085205448,0,0,0,90.0
ZINC000031483558,0,0,0,95.0
ZINC000001530638,0,0,0,80.0
